unique_key,blockchain,block_month,block_date,block_time,block_number,tx_hash,evt_index,trace_address,token_standard,tx_from,tx_to,tx_index,from,to,contract_address,symbol,amount_raw,amount,price_usd,amount_usd
ed13165f63d847b1c002fb6254b9e822,ethereum,2022-11-01,2022-11-17,2022-11-17 20:05:59.000 UTC,15992016.0,0x85d5512a17fd557defb8a2fc93973169213a7d519b0b6afc9ecec75b36262943,306,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x40a2accbd92bca938b02010e17a5b8929b49130d,146,0x8b5995b65edef00eeda0eb38488536cb8bebff61,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,160715000000000000000000,160715.0,0.516932,83078.72638
67941d6fe6ddce365b7fb87bb71f4d68,ethereum,2022-12-01,2022-12-06,2022-12-06 07:24:11.000 UTC,16124238.0,0xfc3cce70df2f195e4df9234fc5807e6020ebb8217d23049a8e36a34bb4f8249e,40,<nil>,erc20,0x2bb718a3986c36c6e02d8d15cda4370820d08169,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,11,0xd9b311d6678edb14ada24829cd9ae09fcc0f0704,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,37500000000000000000000000,37500000.0,0.483114,1.8116775e+07
bc4a88bb6f80a8e1821a9bfa47d68b00,ethereum,2022-10-01,2022-10-11,2022-10-11 19:41:47.000 UTC,15727022.0,0x3dad04afdec319f31fa19630a9305ce1882df0a6a2017abb0b6977408ed151e4,124,<nil>,erc20,0x2bb718a3986c36c6e02d8d15cda4370820d08169,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,91,0xd9b311d6678edb14ada24829cd9ae09fcc0f0704,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,37500000000000000000000000,37500000.0,0.562794,2.1104775e+07
a13d6af42d48d2f640cba5cd5b5854af,ethereum,2022-03-01,2022-03-05,2022-03-05 08:59:59.000 UTC,14325926.0,0x5cc7014b5af1037d9379eaa5b58fa6c57f97bc6927fcb7bb0c88e92918e2c313,272,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,124,0x783082e30976b7c8f73fba8b845a0b5c4c095e18,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,192858000000000000000000,192858.0,1.35,260358.30000000002
87b188355d8c29f74a31517fc685e291,ethereum,2023-07-01,2023-07-12,2023-07-12 06:31:23.000 UTC,17675719.0,0x694018579f327f19f69303957931999c716d148847da7ab47b1ca6844c928268,67,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,48,0xc6b0fcf6c39befa089abe9a223113a205d2628f3,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,1058862000000000000000000,1058862.0,0.323201,342225.257262
29304fc12e1d4efd8bece6c319fe62be,ethereum,2022-03-01,2022-03-11,2022-03-11 11:48:48.000 UTC,14365346.0,0x15be302b9bf639a4395c1ced5535554c1680b0755a87ccb24e39c9cfd943fa72,314,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,219,0x1632af69ea3acc750d4478db576b9ba25415d3c1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,12000000000000000000000000,12000000.0,1.35,1.6200000000000002e+07
162c5780496c1ba18b369c5c90de6925,ethereum,2022-02-01,2022-02-11,2022-02-11 08:17:44.000 UTC,14183633.0,0xa59825029e6765325a19ff9d218bb270036745a0049fc02d7ca78c71d34047d9,523,<nil>,erc20,0xf933d276125767e9f2cba6b0461a974606c307f4,0x06a77eb094ef4e0ca19729770b6b115b57e188f8,151,0x06a77eb094ef4e0ca19729770b6b115b57e188f8,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,61715940000000000000000000,61715940.0,1.81,1.117058514e+08
218803344ef9b7fea0e7753a1af9a5f5,ethereum,2023-07-01,2023-07-12,2023-07-12 06:30:35.000 UTC,17675715.0,0x9c7824ff04d06a69e01f162d18222878525c541789e38fcbf19749569f493fd7,208,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,66,0x73a81b446578985d34cfdb8a22707390cbf052bf,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,96429000000000000000000,96429.0,0.323201,31165.949229
55720a1ae6a2e619afd2e27bb6a0495e,ethereum,2022-01-01,2022-01-10,2022-01-10 12:27:31.000 UTC,13977774.0,0xc8500ed9b5915bd10af754e3108660f1a8b8ef523d6ebefa9e45e4a16496854e,97,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,68,0xf7884aa790ff2ee55970eef08d43cbc16950498e,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,107749998000000000000000000,107749998.0,2.12,2.2842999576000002e+08
8b0f216b0107b160f9f445ddfa426358,ethereum,2024-03-01,2024-03-16,2024-03-16 11:51:59.000 UTC,19447276.0,0x673bc3bdfed346178acf21e7fa60e92f168ee894a9b30c13fe0e3df4619b6e6e,70,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,13,0x5f08b291edc5498285298d892e95adc4e7133236,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,87255000000000000000000,87255.0,0.602926,52608.30813
ce77eebbb0ccbd4269e0626af0da1c40,ethereum,2023-05-01,2023-05-24,2023-05-24 06:07:23.000 UTC,17327170.0,0x6841df6e11a5c91683a7e137003a1d6453d68ed2e58e0da0fdd73aee110d7c80,58,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,59,0x99ffa8bb8695cfb5bc16153715f1a23b642df71b,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,932898000000000000000000,932898.0,0.395377,368846.412546
9069634faf1a7fec8aca63ac4e30bce8,ethereum,2022-07-01,2022-07-19,2022-07-19 16:35:46.000 UTC,15174153.0,0xfb405df5e79cc60752d55e3671fa35e4e9bbff10da321daef9333c242621ec39,83,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x40a2accbd92bca938b02010e17a5b8929b49130d,52,0x55d3118f471aec1611cfabc57f66fcdc32ad2b50,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,535715000000000000000000,535715.0,0.736618,394617.31187
a32316b1a7575f0d85e6d04be4bd2455,ethereum,2023-08-01,2023-08-29,2023-08-29 10:29:59.000 UTC,18019690.0,0xec743a4edf98501e43b4cf0f11debeb19532ec56434de2ce4591aeecf1b70d34,51,<nil>,erc20,0xb1a308e7f02798377b7acf685e997e3d774c5863,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,22,0xbddf91ea1f456b1b5fa7276524482e70d44522d7,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,589290000000000000000000,589290.0,0.241222,142149.71237999998
876192827eea264f81cf49e9a4045524,ethereum,2022-03-01,2022-03-05,2022-03-05 09:01:55.000 UTC,14325932.0,0x3ea353332ef1bd91473ab1de9849516082d7f011bbedc2a1bcbf89388fe9f3a7,91,<nil>,erc20,0x58b5daf5662425c1b8ab4be8b3a53e8a2374dbf1,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,91,0x57881353f1524e3bd92026fc146273828383f9bb,0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,0x111111111117dc0aa78b770fa6a738034120c302,1INCH,12857148000000000000000000,12857148.0,1.35,1.73571498e+07
